"URI","SAMEAS1","SAMEAS2","NAME1","NAME2","NAME3","DOCURI1","DOCTITLE1","DOCURI2","DOCTITLE2","DOCURI3","DOCTITLE3","DOCURI4","DOCTITLE4","RUNDATETIME"
"http://dbpedia.org/resource/Jovian_(emperor)","http://viaf.org/viaf/12693872",,"Flavius Jovianus","Jovian",,"http://en.wikipedia.org/wiki/Jovian_(emperor)","Jovian (emperor)","http://finds.org.uk/romancoins/emperors/emperor/id/115","Profile for Emperor: Jovian","http://www.roman-emperors.org/jovian.htm","Flavius Jovianus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Jovian_(emperor)","Photos for DBpedia.org resource Jovian_(emperor)","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Jovinus",,,"Jovinus",,,"http://en.wikipedia.org/wiki/Jovinus","Jovinus","http://finds.org.uk/romancoins/emperors/emperor/id/116","Profile for Emperor: Jovinus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Jovinus","Photos for DBpedia.org resource Jovinus",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Julian_the_Apostate","http://viaf.org/viaf/57406701",," Flavius Claudius Julianus","Julian","Julian The Apostate","http://en.wikipedia.org/wiki/Julian_the_Apostate","Julian the Apostate","http://finds.org.uk/romancoins/emperors/emperor/id/155","Profile for Emperor: Julian","http://www.roman-emperors.org/julian.htm","Julian The Apostate","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Julian_the_Apostate","Photos for DBpedia.org resource Julian_the_Apostate","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Julianus_ben_Sabar",,,"Julianus ben Sabar",,,"http://en.wikipedia.org/wiki/Julianus_ben_Sabar","Julianus ben Sabar","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Julianus_ben_Sabar","Photos for DBpedia.org resource Julianus_ben_Sabar",,,,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Julius_Nepos",,,"Julius Nepos",,,"http://en.wikipedia.org/wiki/Julius_Nepos","Julius Nepos","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2180","Profile for Emperor: Julius Nepos","http://www.roman-emperors.org/nepos.htm","Julius Nepos","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Julius_Nepos","Photos for DBpedia.org resource Julius_Nepos","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Julius_Saturninus",,,"Julius Saturninus",,,"http://en.wikipedia.org/wiki/Julius_Saturninus","Julius Saturninus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Julius_Saturninus","Photos for DBpedia.org resource Julius_Saturninus",,,,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Justin_I",,,"Justin I",,,"http://en.wikipedia.org/wiki/Justin_I","Justin I","http://finds.org.uk/byzantinecoins/rulers/ruler/id/1975","Profile for Emperor: Justin I","http://www.roman-emperors.org/justin.htm","Justin","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Justin_I","Photos for DBpedia.org resource Justin_I","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Justin_II",,,"Justin II",,,"http://en.wikipedia.org/wiki/Justin_II","Justin II","http://finds.org.uk/byzantinecoins/rulers/ruler/id/1978","Profile for Emperor: Justin II","http://www.roman-emperors.org/justinii.htm","Justin II","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Justin_II","Photos for DBpedia.org resource Justin_II","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Justinian_I",,,"Justinian","Justinian I",,"http://en.wikipedia.org/wiki/Justinian_I","Justinian I","http://finds.org.uk/byzantinecoins/rulers/ruler/id/1977","Profile for Emperor: Justinian I","http://www.roman-emperors.org/justinia.htm","Justinian","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Justinian_I","Photos for DBpedia.org resource Justinian_I","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Justinian_II",,,"Justinian II",,,"http://en.wikipedia.org/wiki/Justinian_II","Justinian II","http://www.roman-emperors.org/Just2.htm","Justinian II","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Justinian_II","Photos for DBpedia.org resource Justinian_II",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Laelianus",,,"Laelianus",,,"http://en.wikipedia.org/wiki/Laelianus","Laelianus","http://finds.org.uk/romancoins/emperors/emperor/id/55","Profile for Emperor: Laelianus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Laelianus","Photos for DBpedia.org resource Laelianus",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Leo_III_the_Isaurian",,,"Leo III",,,"http://en.wikipedia.org/wiki/Leo_III_the_Isaurian","Leo III the Isaurian","http://finds.org.uk/byzantinecoins/rulers/ruler/id/1998","Profile for Emperor: Leo III","http://www.roman-emperors.org/leoiii.htm","Leo III","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Leo_III_the_Isaurian","Photos for DBpedia.org resource Leo_III_the_Isaurian","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Leo_II_(emperor)",,,"Leo II",,,"http://en.wikipedia.org/wiki/Leo_II_(emperor)","Leo II (emperor)","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2173","Profile for Emperor: Leo II","http://www.roman-emperors.org/leo2.htm","Leo II","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Leo_II_(emperor)","Photos for DBpedia.org resource Leo_II_(emperor)","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Leo_IV_the_Khazar",,,"Leo IV","Leo Iv",,"http://en.wikipedia.org/wiki/Leo_IV_the_Khazar","Leo IV the Khazar","http://www.roman-emperors.org/leo4.htm","Leo Iv","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Leo_IV_the_Khazar","Photos for DBpedia.org resource Leo_IV_the_Khazar",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Leo_I_(emperor)",,,"Leo I",,,"http://en.wikipedia.org/wiki/Leo_I_(emperor)","Leo I (emperor)","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2171","Profile for Emperor: Leo I","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Leo_I_(emperor)","Photos for DBpedia.org resource Leo_I_(emperor)",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Leo_VI_the_Wise",,,"Leo VI",,,"http://en.wikipedia.org/wiki/Leo_VI_the_Wise","Leo VI the Wise","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2011","Profile for Emperor: Leo VI","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Leo_VI_the_Wise","Photos for DBpedia.org resource Leo_VI_the_Wise",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Leo_V_the_Armenian",,,"Leo V",,,"http://en.wikipedia.org/wiki/Leo_V_the_Armenian","Leo V the Armenian","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Leo_V_the_Armenian","Photos for DBpedia.org resource Leo_V_the_Armenian",,,,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Leontios",,,"Leontios",,,"http://en.wikipedia.org/wiki/Leontios","Leontios","http://www.roman-emperors.org/leonti2.htm","Leontius","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Leontios","Photos for DBpedia.org resource Leontios",,,"2014-01-22T12:06:09-06:00"
