"dbpedia resource uri","ROMEMP URL","Wikipedia URI","viaf1","name1","name2","name3"
"http://dbpedia.org/resource/Heraklonas","http://www.roman-emperors.org/heraclon.htm","http://en.wikipedia.org/wiki/Heraklonas",,"Heraklonas",,
"http://dbpedia.org/resource/Constans_II","http://www.roman-emperors.org/Constan2.htm","http://en.wikipedia.org/wiki/Constans_II",,"Constans II",,
"http://dbpedia.org/resource/Maurikios_Chartoularios",,"http://en.wikipedia.org/wiki/Maurikios_Chartoularios",,"Maurikios Chartoularios",,
"http://dbpedia.org/resource/Valentinus_(usurper)",,"http://en.wikipedia.org/wiki/Valentinus_(usurper)",,"Valentinus",,
"http://dbpedia.org/resource/Gregory_the_Patrician",,"http://en.wikipedia.org/wiki/Gregory_the_Patrician",,"Gregory",,
"http://dbpedia.org/resource/Olympius_(exarch)",,"http://en.wikipedia.org/wiki/Olympius_(exarch)",,"Olympius",,
"http://dbpedia.org/resource/Theodoros_Pasagnathes",,"http://en.wikipedia.org/wiki/Theodoros_Pasagnathes",,"Theodoros Pasagnathes",,
,,,,"Eleutherios",,
"http://dbpedia.org/resource/Saborios",,"http://en.wikipedia.org/wiki/Saborios",,"Saborios",,
"http://dbpedia.org/resource/Constantine_IV","http://www.roman-emperors.org/Constiv.htm","http://en.wikipedia.org/wiki/Constantine_IV",,"Constantine IV",,
"http://dbpedia.org/resource/Mezezius",,"http://en.wikipedia.org/wiki/Mezezius",,"Mezezius",,
"http://dbpedia.org/resource/Justinian_II","http://www.roman-emperors.org/Just2.htm","http://en.wikipedia.org/wiki/Justinian_II",,"Justinian II",,
"http://dbpedia.org/resource/Leontios","http://www.roman-emperors.org/leonti2.htm","http://en.wikipedia.org/wiki/Leontios",,"Leontios",,
"http://dbpedia.org/resource/Philippikos_Bardanes",,"http://en.wikipedia.org/wiki/Philippikos_Bardanes",,"Philippikos Bardanes",,
"http://dbpedia.org/resource/Anastasios_II","http://www.roman-emperors.org/anastasii.htm","http://en.wikipedia.org/wiki/Anastasios_II",,"Anastasios II","Anastasius II",
"http://dbpedia.org/resource/Theodosios_III","http://www.roman-emperors.org/theodiii.htm","http://en.wikipedia.org/wiki/Theodosios_III",,"Theodosios III","Theodosius III",
"http://dbpedia.org/resource/Leo_III_the_Isaurian","http://www.roman-emperors.org/leoiii.htm","http://en.wikipedia.org/wiki/Leo_III_the_Isaurian",,"Leo III",,
"http://dbpedia.org/resource/Constantine_V","http://www.roman-emperors.org/constanv.htm","http://en.wikipedia.org/wiki/Constantine_V",,"Constantine V","Constantine V Copronymus",
"http://dbpedia.org/resource/Artabasdos",,"http://en.wikipedia.org/wiki/Artabasdos",,"Artabasdos",,
"http://dbpedia.org/resource/Leo_IV_the_Khazar","http://www.roman-emperors.org/leo4.htm","http://en.wikipedia.org/wiki/Leo_IV_the_Khazar",,"Leo IV","Leo Iv",
"http://dbpedia.org/resource/Constantine_VI","http://www.roman-emperors.org/irene.htm","http://en.wikipedia.org/wiki/Constantine_VI",,"Constantine VI","Constantine Vi",
"http://dbpedia.org/resource/Irene_of_Athens","http://www.roman-emperors.org/irene.htm","http://en.wikipedia.org/wiki/Irene_of_Athens",,"Irene of Athens",,
"http://dbpedia.org/resource/Nikephoros_I",,"http://en.wikipedia.org/wiki/Nikephoros_I",,"Nikephoros I",,
"http://dbpedia.org/resource/Staurakios",,"http://en.wikipedia.org/wiki/Staurakios",,"Staurakios",,
"http://dbpedia.org/resource/Michael_I_Rangabe",,"http://en.wikipedia.org/wiki/Michael_I_Rangabe",,"Michael I Rangabe",,
"http://dbpedia.org/resource/Leo_V_the_Armenian",,"http://en.wikipedia.org/wiki/Leo_V_the_Armenian",,"Leo V",,
"http://dbpedia.org/resource/Michael_II",,"http://en.wikipedia.org/wiki/Michael_II",,"Michael II",,
"http://dbpedia.org/resource/Theophilos_(emperor)",,"http://en.wikipedia.org/wiki/Theophilos_(emperor)",,"Theophilos",,
"http://dbpedia.org/resource/Michael_III",,"http://en.wikipedia.org/wiki/Michael_III",,"Michael III",,
"http://dbpedia.org/resource/Basil_I_the_Macedonian",,"http://en.wikipedia.org/wiki/Basil_I_the_Macedonian",,"Basil I",,
"http://dbpedia.org/resource/Leo_VI_the_Wise",,"http://en.wikipedia.org/wiki/Leo_VI_the_Wise",,"Leo VI",,
"http://dbpedia.org/resource/Alexander_(Byzantine_emperor)",,"http://en.wikipedia.org/wiki/Alexander_(Byzantine_emperor)",,"Alexander III",,
"http://dbpedia.org/resource/Constantine_VII",,"http://en.wikipedia.org/wiki/Constantine_VII",,"Constantine VII",,
